SETOR ECONÔMICO;SUBSETOR;SEGMENTO;CÓDIGO;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;COSAN       ;CSAN;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;DOMMO;DMMO;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;ENAUTA PART;ENAT;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;PET MANGUINH;RPMG;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;PETROBRAS   ;PETR;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;PETROBRAS BR;BRDT;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;PETRORIO;PRIO;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;ULTRAPAR    ;UGPA;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;;;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;LUPATECH    ;LUPA;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;OSX BRASIL  ;OSXB;;
Materiais Básicos;Mineração;;;;
Materiais Básicos;Mineração;BRADESPAR   ;BRAP;;
Materiais Básicos;Mineração;LITEL       ;LTEL;;
Materiais Básicos;Mineração;LITELA;LTLA;;
Materiais Básicos;Mineração;MMX MINER   ;MMXM;;
Materiais Básicos;Mineração;VALE        ;VALE;;
Materiais Básicos;Siderurgia e Metalurgia;;;;
Materiais Básicos;Siderurgia e Metalurgia;FERBASA     ;FESA;;
Materiais Básicos;Siderurgia e Metalurgia;GERDAU      ;GGBR;;
Materiais Básicos;Siderurgia e Metalurgia;GERDAU MET  ;GOAU;;
Materiais Básicos;Siderurgia e Metalurgia;SID NACIONAL;CSNA;;
Materiais Básicos;Siderurgia e Metalurgia;USIMINAS    ;USIM;;
Materiais Básicos;Siderurgia e Metalurgia;;;;
Materiais Básicos;Siderurgia e Metalurgia;MANGELS INDL;MGEL;;
Materiais Básicos;Siderurgia e Metalurgia;PANATLANTICA;PATI;;
Materiais Básicos;Siderurgia e Metalurgia;TEKNO       ;TKNO;;
Materiais Básicos;Siderurgia e Metalurgia;;;;
Materiais Básicos;Siderurgia e Metalurgia;PARANAPANEMA;PMAM;;
Materiais Básicos;Químicos;;;;
Materiais Básicos;Químicos;BRASKEM     ;BRKM;;
Materiais Básicos;Químicos;ELEKEIROZ   ;ELEK;;
Materiais Básicos;Químicos;GPC PART    ;GPCP;;
Materiais Básicos;Químicos;;;;
Materiais Básicos;Químicos;FER HERINGER;FHER;;
Materiais Básicos;Químicos;NUTRIPLANT  ;NUTR;;
Materiais Básicos;Químicos;;;;
Materiais Básicos;Químicos;CRISTAL;CRPG;;
Materiais Básicos;Químicos;UNIPAR      ;UNIP;;
Materiais Básicos;Madeira e Papel;;;;
Materiais Básicos;Madeira e Papel;DURATEX     ;DTEX;;
Materiais Básicos;Madeira e Papel;EUCATEX     ;EUCA;;
Materiais Básicos;Madeira e Papel;;;;
Materiais Básicos;Madeira e Papel;IRANI ;RANI;;
Materiais Básicos;Madeira e Papel;KLABIN S/A  ;KLBN;;
Materiais Básicos;Madeira e Papel;MELHOR SP   ;MSPA;;
Materiais Básicos;Madeira e Papel;SANTHER     ;STTZ;;
Materiais Básicos;Madeira e Papel;SUZANO HOLD ;NEMO;;
Materiais Básicos;Madeira e Papel;SUZANO S.A.;SUZB;;
Materiais Básicos;Embalagens;;;;
Materiais Básicos;Embalagens;METAL IGUACU;MTIG;;
Materiais Básicos;Materiais Diversos;;;;
Materiais Básicos;Materiais Diversos;SANSUY      ;SNSY;;
Bens Industriais;Construção e Engenharia;;;;
Bens Industriais;Construção e Engenharia;ETERNIT     ;ETER;;
Bens Industriais;Construção e Engenharia;HAGA S/A    ;HAGA;;
Bens Industriais;Construção e Engenharia;PORTOBELLO  ;PTBL;;
Bens Industriais;Construção e Engenharia;;;;
Bens Industriais;Construção e Engenharia;AZEVEDO     ;AZEV;;
Bens Industriais;Construção e Engenharia;;;;
Bens Industriais;Construção e Engenharia;SONDOTECNICA;SOND;;
Bens Industriais;Construção e Engenharia;TECNOSOLO   ;TCNO;;
Bens Industriais;Construção e Engenharia;;;;
Bens Industriais;Construção e Engenharia;MILLS       ;MILS;;
Bens Industriais;Material de Transporte;;;;
Bens Industriais;Material de Transporte;EMBRAER     ;EMBR;;
Bens Industriais;Material de Transporte;;;;
Bens Industriais;Material de Transporte;FRAS-LE     ;FRAS;;
Bens Industriais;Material de Transporte;MARCOPOLO   ;POMO;;
Bens Industriais;Material de Transporte;RANDON PART ;RAPT;;
Bens Industriais;Material de Transporte;RECRUSUL    ;RCSL;;
Bens Industriais;Material de Transporte;RIOSULENSE  ;RSUL;;
Bens Industriais;Material de Transporte;TUPY        ;TUPY;;
Bens Industriais;Material de Transporte;WETZEL S/A  ;MWET;;
Bens Industriais;Máquinas e Equipamentos;;;;
Bens Industriais;Máquinas e Equipamentos;SCHULZ      ;SHUL;;
Bens Industriais;Máquinas e Equipamentos;WEG         ;WEGE;;
Bens Industriais;Máquinas e Equipamentos;;;;
Bens Industriais;Máquinas e Equipamentos;ACO ALTONA  ;EALT;;
Bens Industriais;Máquinas e Equipamentos;BARDELLA    ;BDLL;;
Bens Industriais;Máquinas e Equipamentos;INDS ROMI   ;ROMI;;
Bens Industriais;Máquinas e Equipamentos;INEPAR      ;INEP;;
